ID,propertyFullAddress,houseAddress,city,state,zip,propertyType,bedrooms,bathrooms,floors,sizeSqft,yearBuilt,redfinLink,zillowLink,createdDate,updatedDate,Owner
d3f12650-6364-4f33-9dee-f2fbf742e158,"40963 177TH Street, Lancaster, CA, 93535",40963 177TH Street,Lancaster,CA,93535,Single Home,4,2,1,1384,1979,https://www.redfin.com/CA/Lancaster/40963-177th-St-E-93535/home/6239968,https://www.zillow.com/homedetails/40963-177th-St-E-Lancaster-CA-93535/20274225_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
4af44b45-ad35-4558-b3fa-0b0f3276ec69,"559 Houston Dr, Thousand Oaks, CA, 91360",559 Houston Dr,Thousand Oaks,CA,91360,Single Family,3,2,1,1286,1965,https://www.redfin.com/CA/Thousand-Oaks/559-Houston-Dr-91360/home/4664884,https://www.zillow.com/homedetails/559-Houston-Dr-Thousand-Oaks-CA-91360/16476195_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
84c970dd-0acd-4893-b4cc-3c6c12de7ccf,"6160 Whitsett Avenue, North Hollywood, CA, 91606",6160 Whitsett Avenue,North Hollywood,CA,91606,Single Family,3,2,1,1267,1961,,https://www.zillow.com/homes/6160%20Whitsett%20Avenue%20%2310%2C%20North%20Hollywood%2C%20CA%2091606_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
c127a42c-e7c0-4926-94cf-0ffe965396dc,"14700 Rinaldi St, San Fernando, CA, 91340",14700 Rinaldi St,San Fernando,CA,91340,Single Family,3,1,1,960,1953,,"https://www.zillow.com/homes/14700-Rinaldi-St-San-Fernando,-CA-91340_rb/20112417_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
03220002-0daa-4855-9ef1-d3105827ad52,"22621 Berdon St, Woodland Hills, CA, 91367",22621 Berdon St,Woodland Hills,CA,91367,Single Family,3,2,1,1596,1954,https://www.redfin.com/CA/Woodland-Hills/22621-Berdon-St-91367/home/3225595,"https://www.zillow.com/homes/22621-Berdon-St-Woodland-Hills,-CA-91367_rb/19878070_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
eef7aa2f-1edb-4d1b-ab62-fc2383ba0635,"6761 Kings Harbor Dr, Rancho Palos Verdes, CA, 90275",6761 Kings Harbor Dr,Rancho Palos Verdes,CA,90275,Single Family,4,4,2,2427,1971,,"https://www.zillow.com/homes/6761-Kings-Harbor-Dr,-Rancho-Palos-Verdes,-CA-90275_rb/21362295_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
4629e544-f0bd-4717-9c64-ac3418cfc0bc,"405 Patterson Drive, Monrovia, CA, 91016",405 Patterson Drive,Monrovia,CA,91016,Single Family,3,2,1,1453,1940,,"https://www.zillow.com/homes/405-Patterson-Drive-Monrovia,-California-91016_rb/21585170_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
fef52ed2-7ede-4433-adb9-ce28bf8c55c6,"2100 Spaulding Ave, Los Angeles, CA, 90016",2100 Spaulding Ave,Los Angeles,CA,90016,Single Family,2,2,1,1170,1940,https://www.redfin.com/CA/Los-Angeles/2100-S-Spaulding-Ave-90016/home/6901556,https://www.zillow.com/homedetails/2100-S-Spaulding-Ave-Los-Angeles-CA-90016/20597962_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
3904b7fb-3f96-4772-859f-751eb5a84acf,"6920 Shoshone Ave, Van Nuys, CA, 91406",6920 Shoshone Ave,Van Nuys,CA,91406,Single Family,3,2,1,2200,1949,,https://www.zillow.com/homes/6920%20Shoshone%20Ave%2C%20Van%20Nuys%2C%20CA%2091406%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
6497c6fd-a950-401a-9a78-45a86d3d93db,"1630 Bentley Ave unit 103, Los Angeles, CA, 90025",1630 Bentley Ave unit 103,Los Angeles,CA,90025,Condominium,2,3,1,1548,1981,,"https://www.zillow.com/homes/1630-S-Bentley-Ave-.num.103-Los-Angeles,-CA-90025_rb/20504184_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
70bd708b-d4dd-4ca5-9d1d-29c020358838,"4801 Ashbury Ave, Cypress, CA, 90630",4801 Ashbury Ave,Cypress,CA,90630,Single Family,3,2,1,1656,1964,,"https://www.zillow.com/homes/4801-Ashbury-Ave-Cypress,-CA-90630_rb/25327402_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
d6b8b8dd-2469-44cf-b686-9634045371ac,"5510 Owensmouth Ave suite 312, Woodland Hills, CA, 91364",5510 Owensmouth Ave suite 312,Woodland Hills,CA,91364,Single Family,2,2,1,1050,1987,,https://www.zillow.com/homes/5510%20Owensmouth%20Ave%20%23%20312%2C%20Woodland%20Hills%2C%20CA%2091364%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
87455b4b-b6d2-49eb-9b4f-9bd454055674,"1050 E. Ramon Rd. unit 116, palm springs, CA, 92262",1050 E. Ramon Rd. unit 116,palm springs,CA,92262,Single Family,2,2,1,1152,1979,,https://www.zillow.com/homes/1050%20E.%20Ramon%20Rd.%20unit%20116%2C%20palm%20springs%2C%20CA%2092262%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
0a748ab6-dd64-44b8-a22b-d1253cbc9f80,"17524 Napa St, Northridge, CA, 91325",17524 Napa St,Northridge,CA,91325,Single Family,7,7,2,5978,1983,,https://www.zillow.com/homedetails/17524-Napa-St-Northridge-CA-91325/20184695_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
241264c7-c8e8-40df-8dba-7bb3c84e61c9,"2409 Century Hill, Los Angeles, CA, 90067",2409 Century Hill,Los Angeles,CA,90067,Condominium,2,3,1,2192,1980,,https://www.zillow.com/homedetails/2409-Century-Hl-Los-Angeles-CA-90067/20510560_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
1a265d07-21b8-4234-bfb7-5b33d8e0a881,"28121 Robin Ave, Santa Clarita, CA, 91350",28121 Robin Ave,Santa Clarita,CA,91350,Single Family,2,1,1,799,1976,https://www.redfin.com/CA/Santa-Clarita/28121-Robin-Ave-91350/unit-136/home/5938061,https://www.zillow.com/homedetails/28121-Robin-Ave-Santa-Clarita-CA-91350/20192243_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
99837a08-297e-44ac-8a44-0bb42a4756b6,"1902 N Screenland Dr, Burbank, CA, 91505",1902 N Screenland Dr,Burbank,CA,91505,Single Family,2,1,1,857,1939,,https://www.zillow.com/homes/1902%20N%20Screenland%20Dr%2C%20Burbank%2C%20CA%2091505%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
e8a562cb-6aba-41a5-a5c0-ddd2c56e533b,"3175 Corpus Christi Ave, Simi Valley, CA 93063",3175 Corpus Christi Ave,Simi Valley,CA,93063,Single Family,3,2,1,1252,1964,,https://www.zillow.com/homedetails/3175-Corpus-Christi-Ave-Simi-Valley-CA-93063/16447456_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
a7e79279-c306-4548-8178-75579a40eb22,"3711 Calle Jazmin, Calabasas, CA, 91302",3711 Calle Jazmin,Calabasas,CA,91302,Single Family,3,3,2,1581,1992,https://www.redfin.com/CA/Calabasas/3711-Cll-Jazmin-91302/home/3533495,https://www.zillow.com/homedetails/3711-Calle-Jazmin-Calabasas-CA-91302/19898197_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
8bd9ab9f-1796-461a-ab77-8b3a1f118954,"6673 Lederer Ave, west hills, CA, 91307",6673 Lederer Ave,west hills,CA,91307,Single Family,3,2,1,1790,1959,,https://www.zillow.com/homes/6673%20Lederer%20Ave%2C%20west%20hills%2C%20CA%2091307%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
401b1c3d-8150-49be-91be-dfd12adf574c,"5334 Lindley Ave suite 314, Encino, CA, 91316",5334 Lindley Ave suite 314,Encino,CA,91316,Condominium,1,1,1,823,1970,,"https://www.zillow.com/homes/5334-Lindley-Ave-.num.314-Encino,-CA-91316_rb/19938376_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
8aca96c0-60ca-4ea5-9216-0406fb1b86df,"1170 Valley View Ave, Pasadena, CA, 91107",1170 Valley View Ave,Pasadena,CA,91107,Single Family,3,2,1,1229,1951,,"https://www.zillow.com/homes/1170-Valley-View-Ave-Pasadena,-CA-91107_rb/20880676_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
cdcb9f6f-d325-45fb-afd1-7200d9afcadb,"2003 Velez Dr, Rancho Palos Verdes, CA, 90275",2003 Velez Dr,Rancho Palos Verdes,CA,90275,Single Family,4,2,1,2013,1958,https://www.redfin.com/CA/Rancho-Palos-Verdes/2003-Velez-Dr-90275/home/7729600,https://www.zillow.com/homedetails/2003-Velez-Dr-Rancho-Palos-Verdes-CA-90275/21346019_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
018cacf1-0817-4745-a38b-9e40ae8da13d,"2251 solano way, Oxnard, CA, 93033",2251 solano way,Oxnard,CA,93033,Single Family,3,2,1,1150,1980,,"https://www.zillow.com/homes/2251-Solano-Way-Oxnard,-CA-93033_rb/16408995_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
a47ff87f-6de3-4f20-8fbf-ed3d4765863a,"22000 Collins St suite 4, Woodland Hills, CA, 91364",22000 Collins St suite 4,Woodland Hills,CA,91364,Condominium,3,2.5,2,1502,1980,https://www.redfin.com/CA/Woodland-Hills/22000-Collins-St-91367/unit-4/home/3989111,https://www.zillow.com/homedetails/22000-Collins-St-APT-4-Woodland-Hills-CA-91367/19929054_zpid/?,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
59bced84-ba15-49dc-a072-e9d703a40aed,"15028 Gilmore St, Van Nuys, CA, 91411",15028 Gilmore St,Van Nuys,CA,91411,Single Family,2,1,1,1093,1936,,"https://www.zillow.com/homes/15028-Gilmore-St-Van-Nuys,-CA-91411_rb/19969062_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
abffd442-6eb8-4fbe-8c68-4f45da24e06a,"519 Stepney st, Inglewood , CA, 90302",519 Stepney st,Inglewood,CA,90302,Single Family,5,2,1,1728,1921,,https://www.zillow.com/homes/519%20Stepney%20st%2C%20Inglewood%20%2C%20CA%2090302%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
afc08118-db7d-4936-81bc-9d6549d78cc2,"20431 Lisa Gail Drive, Saugus, CA, 91350",20431 Lisa Gail Drive,Saugus,CA,91350,Single Family,4,3,2,2240,1986,,https://www.zillow.com/homes/20431%20Lisa%20Gail%20Drive%2C%20Saugus%2C%20CA%2091350%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
cb28909a-4a8f-4812-9cda-0bff53341c86,"22328 De Grasse Drive, Calabasas, CA, 91302",22328 De Grasse Drive,Calabasas,CA,91302,Single Family,4,2,2,2290,1964,,https://www.zillow.com/homes/22328%20De%20Grasse%20%20Drive%2C%20Calabasas%2C%20CA%2091302_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
b53a8feb-6828-4615-b0e4-002cbdabc77c,"12451 Daryl Ave, Granada Hills, CA, 91344",12451 Daryl Ave,Granada Hills,CA,91344,Single Family,4,3,1,2505,1966,,https://www.zillow.com/homes/12451%20Daryl%20Ave%2C%20Granada%20Hills%2C%20CA%2091344%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
3ae7f3d6-e467-41d7-9932-dc3b27629a06,"17533 Dearborn St, Northridge, CA, 91325",17533 Dearborn St,Northridge,CA,91325,Single Family,4,2,1,2477,1955,,"https://www.zillow.com/homes/17533-Dearborn-St-Northridge,-CA-91325_rb/20176905_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
e94118c2-967c-4a25-9432-fd33b49a2d97,"29220 Deep Shadow Drive, Agoura Hills, CA, 91301",29220 Deep Shadow Drive,Agoura Hills,CA,91301,Single Family,5,3,2,2400,1980,https://www.redfin.com/CA/Agoura-Hills/29220-Deep-Shadow-Dr-91301/home/3350454,https://www.zillow.com/homedetails/29220-Deep-Shadow-Dr-Agoura-Hills-CA-91301/19886826_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
823acc84-670f-4e18-9642-c8fd9029d8c1,"695 e colorado blvd, Pasadena, CA, 91101",695 e colorado blvd,Pasadena,CA,91101,Single Family,1,1,1,1000,1953,,https://www.loopnet.com/Listing/695-Colorado-Blvd-Pasadena-CA/25225900/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
6521a7dc-ec52-4f6e-9b65-2e02d0779687,"54 Barolo, Rancho Mirage, CA, 92270",54 Barolo,Rancho Mirage,CA,92270,Single Family,2,2,1,1200,1900,,https://www.zillow.com/homes/54%20Barolo%2C%20Rancho%20Mirage%2C%20CA%2092270%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
3ec7a4f0-9028-4b8d-a239-d462e07dc651,"1023 Via Colinas, Westlake Village, CA, 91362",1023 Via Colinas,Westlake Village,CA,91362,Townhome,3,2.5,2,1435,1940,https://www.redfin.com/CA/Westlake-Village/1023-Via-Colinas-91362/home/4684662,https://www.zillow.com/homedetails/2100-S-Spaulding-Ave-Los-Angeles-CA-90016/20597962_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
0f98c63c-f80d-4ecf-81ed-36c308986f35,"7539 Bobbyboyar Ave, West Hills, CA, 91304",7539 Bobbyboyar Ave,West Hills,CA,91304,Single Family,4,3,2,2736,1977,,https://www.zillow.com/homes/7539%20Bobbyboyar%20Ave%2C%20West%20Hills%2C%20CA%2091304%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
d292b3d9-6fd4-439e-85aa-e18f3b5a96e3,"2412 Beverwil Dr, Los Angeles, CA, 90034",2412 Beverwil Dr,Los Angeles,CA,90034,Single Family,3,2,1,1644,1948,https://www.redfin.com/CA/Los-Angeles/2412-Beverwil-Dr-90034/home/6791786,https://www.zillow.com/homedetails/2412-Beverwil-Dr-Los-Angeles-CA-90034/20494439_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
b25e5862-9d7b-4314-be21-cc397f1a282d,"603 S Mansfield Ave, Los Angeles, CA, 90036",603 S Mansfield Ave,Los Angeles,CA,90036,Single Family,3,2,1,1936,1924,,"https://www.zillow.com/homes/603-S-Mansfield-Ave-Los-Angeles,-CA-90036_rb/20775743_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
01d97138-441c-4312-b71d-2f95fa1c23bc,"11945 Vara Pl, Granada Hills, CA, 91344",11945 Vara Pl,Granada Hills,CA,91344,Single Family,5,6,2,4361,1990,,"https://www.zillow.com/homes/11945-Vara-Pl-Granada-Hills,-CA-91344_rb/20104627_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
28c4339e-ae5a-4166-8707-4950a8afd612,"13722 Wyandote St, Van Nuys, CA, 91405",13722 Wyandote St,Van Nuys,CA,91405,Single Family,1,1,1,1111,2000,,https://www.zillow.com/homes/13722%20Wyandote%20St%2C%20Van%20Nuys%2C%20CA%2091405%2C%20US_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
3e2ec06f-bc76-4bf5-b5d4-ffb7290326b7,"10794 Wilkins ave suite 404, Los angeles, CA, 90024",10794 Wilkins ave suite 404, Los angeles,CA,90024,Condominium,2,3,2,1725,1981,https://www.redfin.com/CA/Los-Angeles/10794-Wilkins-Ave-90024/unit-404/home/6803767,"https://www.zillow.com/homes/10794-Wilkins-Ave-.num.404-Los-Angeles,-CA-90024_rb/20505109_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
3b4c9fee-1f5c-46fe-b3f2-dd2ca59127fc,"4900 La Crescenta Blvd, La Crescenta, CA, 91214",4900 La Crescenta Blvd,La Crescenta,CA,91214,Single Family,4,3,1,2956,2005,https://www.redfin.com/CA/La-Crescenta-Montrose/4900-La-Crescenta-Ave-91214/home/7242952,https://www.zillow.com/homedetails/4900-La-Crescenta-Ave-La-Crescenta-CA-91214/20899982_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
d22c0bd8-e08c-4c75-99ba-2c86d8b243ce,"27543 Berkshire Hills Pl, Valencia, CA, 91354",27543 Berkshire Hills Pl,Valencia,CA,91354,Single Family,5,3,2,2253,1993,,https://www.zillow.com/homes/27543%20Berkshire%20Hills%20Pl%2C%20Valencia%2C%20CA%2091354%2C%20USA_rb/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
8a44f690-574f-47a5-a7f0-8fa24fac5913,"27152 Barada Ave, Santa Clarita, CA, 91350",27152 Barada Ave,Santa Clarita,CA,91350,Single Family,3,2,1,1188,1964,,"https://www.zillow.com/homes/27152-Barada-Ave-Santa-Clarita,-CA-91350_rb/20191136_zpid/",6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
d481d52d-8794-4188-8d91-699689a4f671,"6401 Nohl Ranch Rd suite 78, Anaheim, CA, 92807",6401 Nohl Ranch Rd suite 78,Anaheim,CA,92807,Single Family,4,2.5,1,2145,1976,https://www.redfin.com/CA/Anaheim/6401-Nohl-Ranch-Rd-92807/unit-78/home/4333686,https://www.zillow.com/homedetails/6401-E-Nohl-Ranch-Rd-APT-78-Anaheim-CA-92807/25416615_zpid/,6/3/25,6/3/25,03839c70-7508-4e6d-b906-4df699fc5aa1
